Friday 10;493.77777777777777
Wednesday 11;370.59090909090907
Saturday 10;375.2173913043478
Sunday 11;2290.75
Wednesday 10;338.8888888888889
Friday 09;455.7647058823529
Friday 11;281.70588235294116
Monday 09;518.7894736842105
Tuesday 09;540.7777777777778
Monday 10;408.1
Thursday 09;399.6111111111111
Tuesday 10;494.1666666666667
Thursday 11;365.1111111111111
Saturday 09;1028.1
Monday 11;315.7
Tuesday 11;258.0869565217391
Saturday 11;360.625
Wednesday 09;457.3888888888889
Thursday 10;323.89473684210526
