240561;UCC WGB;Curraheen;Monday;05/09/2016;08:45:15;08:51:00;08:52:13
240001;CIT Technology Park;Curraheen;Monday;05/09/2016;08:45:16;08:54:00;09:07:45
240491;Patrick Street;Curraheen;Monday;05/09/2016;08:48:20;08:49:00;08:56:15
240561;UCC WGB;Curraheen;Monday;05/09/2016;08:48:21;08:51:00;08:52:45
240001;CIT Technology Park;Curraheen;Monday;05/09/2016;08:48:23;08:54:00;09:07:45
240491;Patrick Street;Curraheen;Monday;05/09/2016;08:51:26;08:59:00;08:58:00
240561;UCC WGB;Curraheen;Monday;05/09/2016;08:51:27;09:01:00;08:59:08
240001;CIT Technology Park;Curraheen;Monday;05/09/2016;08:51:28;08:54:00;09:06:17
240491;Patrick Street;Curraheen;Monday;05/09/2016;08:54:31;08:59:00;08:59:38
240561;UCC WGB;Curraheen;Monday;05/09/2016;08:54:32;09:01:00;09:01:47
240001;CIT Technology Park;Curraheen;Monday;05/09/2016;08:54:33;09:04:00;09:05:30
240491;Patrick Street;Curraheen;Monday;05/09/2016;08:57:37;08:59:00;09:04:03
240561;UCC WGB;Curraheen;Monday;05/09/2016;08:57:37;09:01:00;08:59:47
240001;CIT Technology Park;Curraheen;Monday;05/09/2016;08:57:38;09:04:00;09:05:30
241111;CIT Technology Park;Lotabeg;Monday;05/09/2016;17:45:21;17:51:00;17:51:07
240101;UCC WGB;Lotabeg;Monday;05/09/2016;17:45:23;17:51:00;17:49:46
240171;Patrick Street;Lotabeg;Monday;05/09/2016;17:45:24;17:50:00;18:00:17
241111;CIT Technology Park;Lotabeg;Monday;05/09/2016;17:48:29;17:51:00;17:51:07
240101;UCC WGB;Lotabeg;Monday;05/09/2016;17:48:30;17:51:00;17:48:46
240171;Patrick Street;Lotabeg;Monday;05/09/2016;17:48:30;17:50:00;17:59:27
241111;CIT Technology Park;Lotabeg;Monday;05/09/2016;17:51:33;18:01:00;18:17:50
240101;UCC WGB;Lotabeg;Monday;05/09/2016;17:51:34;18:01:00;17:53:39
